ID_kinopoisk;screens;budget;age_R;time;box_budget;rating;box;views;rezult;rezult4
70952;100;46096480;12;115;1,17;7,4;54000000;551000;0;1
77396;117;57620600;0;98;0,78;4,8;45000000;464000;0;0
79850;315;121003260;16;115;3,84;6,1;465000000;4400000;1;3
253754;47;46096480;12;101;0,16;6,4;7300000;61000;0;0
252013;188;57620600;6;90;0,33;6,7;19000000;295000;0;0
85104;93;86430900;0;80;0,11;4,7;9800000;142000;0;0
81201;35;57620600;16;100;0,07;6,4;4000000;34000;0;0
81202;300;201672100;12;105;0,62;5,9;126000000;1100000;0;0
81041;200;115241200;12;79;0,42;7,7;48000000;628000;0;0
208105;14;43215450;16;94;0,05;7,5;2100000;18000;0;0
104958;130;14144600;12;105;5,23;4,7;74000000;633000;1;3
85127;73;70723000;16;85;0,13;6,7;9100000;80000;0;0
254806;22;28289200;18;112;0,05;6,7;1300000;11000;0;0
40775;367;113156800;16;130;4,71;7,2;533000000;4900000;1;3
81485;320;99012200;16;132;2,25;6,5;223000000;2300000;1;2
95943;137;42433800;16;93;0,87;5,7;37000000;331000;0;0
81203;270;50920560;16;110;1,2;6,7;61000000;538000;0;1
94111;352;113156800;16;127;1,81;7,4;205000000;1700000;0;1
418372;30;70723000;18;80;0,03;5,2;1900000;16000;0;0
84830;222;56578400;16;111;2,12;7,2;120000000;915000;1;2
103737;60;56578400;18;90;0,51;6,8;29000000;266000;0;0
84464;172;42433800;16;105;0,54;5,9;23000000;197000;0;0
84225;114;56578400;16;90;0,23;5,7;13000000;121000;0;0
104143;187;70723000;16;111;0,35;6,4;25000000;229000;0;0
49345;208;282892000;16;110;0,16;2,3;44000000;418000;0;0
103339;201;90525440;16;117;2,11;3;191000000;1600000;1;2
84674;361;189537640;16;139;3,6;6,7;682000000;6100000;1;3
104895;106;42433800;16;103;0,24;6;10000000;82000;0;0
252117;67;48091640;12;95;0,04;6,4;2000000;17000;0;0
93006;200;96183280;16;97;0,53;5,8;51000000;420000;0;0
230629;25;70723000;16;100;0,02;5,3;1300000;9800;0;0
160898;122;84867600;16;90;0,25;7;21000000;170000;0;0
251966;79;565784000;18;96;0,02;5,7;11000000;87000;0;0
79925;518;118814640;12;132;7,73;6;919000000;7400000;1;3
103414;405;67946250;16;98;4,02;6,7;273000000;2300000;1;3
161139;96;40767750;16;97;0,18;6,8;7300000;67000;0;0
252012;56;12230325;12;94;0,44;6,4;5400000;43000;0;0
79850;121;114149700;16;115;0,03;6,1;3300000;29000;0;0
